WellC06_Seq0013/xy04_sliding_s15,0-0,984.3286739398113,130.2388056609857,0.873219232721,0.856336686391,0.13231231509257993,43.13753340189956,6.5451542380603955,41.0136947475,0.722277599585,0.635247546685,-0.354467797266,406.194864161,0.6749351025862939,0.650339661852,-159.771811114,-0.2874648102338755,-0.05152156601571578,-1.1786659230488785,-1.4224661218757009,-0.7628276204792659,-1.4999999999999996,-1.4999999999999998,-1.9999999999999998,-2.0,-2.0,29.6546070957,29.6546070957,31.0578543664,31.0578543664,31.0578543664,31.0578543664,31.0578543664,31.0578543664,32.3119234287,32.3119234287,1.0,1.0,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.9,0.0769991774695,-0.152875176269,-0.259889461515,-0.189357416065,0.0788234158294,-0.0875775409286,-0.0283396611304,0.212609071181,-0.206327793402,0.0951092494795,0.272727272727,0.3,0.4,0.444444444444,0.555555555556,0.625,0.182593889832,0.020764819605854714,0.5908924807758736,0.193915109975,0.0042554209543363775,0.5659807670010278,0.411631589643,0.04228496262627257,2.0489183499885604,0.454399288257,0.0361931483516202,2.083153801651236,0.464643999129,0.046596447145018385,1.7112002413402005,0.526392879655,0.08370603793863116,1.745435693002876
WellC06_Seq0013/xy04_sliding_s15,0-1,925.6670449099023,189.58840602737286,0.865724423816,0.836521301775,0.2048127424108806,43.13753340189956,6.5451542380603955,38.5694602046,0.884475424933,0.625281794445,-0.32054445631,453.765732286,0.5960235518163632,0.648369804349,-83.1388625463,-0.42015674916663937,0.7040577963566697,-1.331841769058635,-1.5714235346647696,-0.8602328551921943,-1.4999999999999998,-1.5000000000000004,-1.9999999999999998,-2.0,-2.0,28.6655515286,28.6655515286,30.0167432431,30.0167432431,30.0167432431,30.0167432431,30.0167432431,30.0167432431,31.2129727985,31.2129727985,1.0,1.0,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.9,-0.0190632803147,-0.115824352656,-0.117418271605,-0.261258454671,-0.0543573705586,-0.294710970838,0.0916064914084,0.275463590312,-0.132083609232,0.204438780775,0.363636363636,0.4,0.5,0.555555555556,0.666666666667,0.75,0.202941827672,0.020764819605854714,0.5908924807758736,0.209452121277,0.0042554209543363775,0.5659807670010278,0.431722849959,0.04228496262627257,2.0489183499885604,0.470558368494,0.0361931483516202,2.083153801651236,0.49448062782,0.046596447145018385,1.7112002413402005,0.56499376256,0.08370603793863116,1.745435693002876
WellC06_Seq0013/xy04_sliding_s15,0-2,915.558399167091,215.90026215824747,0.87113542898,0.835114792899,0.23581266072667562,43.13753340189956,6.5451542380603955,38.148266632,0.93230259787,0.739323517407,-0.324838394976,450.408456434,0.5890209268165872,0.647842701556,-53.8487181015,-0.4021626459096175,-0.07021245382501595,0.294965277335578,-1.6105363560801118,-1.7827179523501924,-1.5000000000000009,-1.5000000000000002,-2.0,-2.0,-2.0,28.6260733383,28.6260733383,29.9751872533,29.9751872533,29.9751872533,29.9751872533,29.9751872533,29.9751872533,31.1691081426,31.1691081426,1.0,1.0,0.95,0.95,0.95,0.95,0.95,0.95,0.9,0.9,0.00462077076423,-0.160761203429,-0.110976786338,-0.254284867201,-0.0728667325975,-0.335065471269,0.0131635309327,0.363823484555,-0.120579367017,0.28073522446,0.454545454545,0.5,0.6,0.666666666667,0.777777777778,0.875,0.218460183731,0.0279788686944936,0.5908924807758736,0.21666476757,0.0042554209543363775,0.5659807670010278,0.43668047323,0.04228496262627257,2.0489183499885604,0.461674771654,0.009694800405789752,2.083153801651236,0.496214790363,0.05166941553228469,1.7112002413402005,0.557638879472,0.02486697323327986,1.745435693002876
WellC06_Seq0013/xy08_sliding_s15,0-0,203.60358279492254,10.259142264341499,0.228429950938,0.163839615704,0.05038782777548127,5.631696014523531,1.460000000000024,8.48348261646,-0.259799827488,0.698739539081,0.0516894518166,39.6145641662,1.1786600884367622,0.0559925429633,-49.7281385974,1.6554558213939528,-0.601975220063482,-0.2946531024724912,-1.3665026893408665,-1.0803622635083006,-1.5,-1.4999999999999998,-2.0,-2.0,-1.9999999999999998,3.31282326755,3.61852736804,4.39876446848,4.86270676124,5.10220984696,0.0,0.0,0.0,0.0,0.0,1.0,0.85,0.5,0.35,0.1,0.0,0.0,0.0,0.0,0.0,-0.0962465049764,0.0942191730339,-0.0700503119229,-0.0571242722095,0.0415837373424,0.265595769955,-0.385557196917,-0.256683667179,-0.391654947269,0.196617058923,0.454545454545,0.4,0.4,0.333333333333,0.555555555556,0.5,0.837298258756,0.0038045382383819115,2.2621141778744605,0.930932059858,0.016102044154703846,2.237050796845408,0.879092507118,0.3971923637755504,1.7735582026447085,0.940855586318,0.4280708986545652,1.7227315840062953,1.15721111641,0.2655090420973262,2.5400643511060554,1.19856435258,0.4066208046410791,2.31971058381496
WellC06_Seq0013/xy08_sliding_s15,0-1,200.91929081125582,13.694524453225814,0.268902374961,0.215950513511,0.06815933103253131,5.631696014523531,1.460000000000024,8.37163711714,-0.168461907541,0.662015634628,0.0906631985941,40.359216959,1.2190317023773547,0.043999360502,-45.5018892984,1.6281045745289884,1.1866649338512598,-0.755825289368651,-1.7376467034551772,-1.6163995829156923,-1.5000000000000002,-1.4999999999999996,-2.0,-2.0,-2.0,3.35630264513,3.5653134368,4.39876446848,4.86270676124,5.10220984696,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.5,0.35,0.1,0.0,0.0,0.0,0.0,0.0,-0.0998395793144,0.127880857493,-0.100705703786,-0.0124177023382,0.058829869605,0.297758862276,-0.400146830553,-0.227410001355,-0.407830227612,0.152030900758,0.363636363636,0.3,0.3,0.222222222222,0.444444444444,0.375,0.860847281184,0.0038045382383819115,2.2621141778744605,0.867207808576,0.016102044154703846,2.237050796845408,0.837101553321,0.06585565954582903,1.7735582026447085,0.776705394631,0.04594907715273693,1.7227315840062953,1.18296752083,0.35243774836756947,2.5400643511060554,1.20155357532,0.4102414847504013,2.31971058381496
WellC06_Seq0013/xy08_sliding_s15,0-2,212.2146448147375,13.281566172707336,0.281795433747,0.242081421849,0.06258553072198239,5.631696014523531,1.460000000000024,8.84227686728,-0.171452539812,0.588740187122,-0.0387401334484,44.2275901838,0.9748370832602248,0.0583047840094,-49.2427731671,0.7116265836842333,-0.5981833103625642,-0.5039645246707449,-1.5554834506290174,-1.6668008102375642,-1.4999999999999998,-1.4999999999999996,-2.0,-2.0,-2.0,3.34923234241,3.55745754489,4.39876446848,4.86270676124,5.10220984696,0.0,0.0,0.0,0.0,0.0,1.0,0.9,0.5,0.35,0.1,0.0,0.0,0.0,0.0,0.0,-0.185218839964,0.092420863278,-0.178289529869,0.118384249746,-0.0970431275878,0.163931553884,-0.463157884068,-0.214840503376,-0.263550272185,0.24123597205,0.363636363636,0.4,0.3,0.333333333333,0.333333333333,0.25,0.949587316341,0.0038045382383819115,2.2621141778744605,0.971589418144,0.016102044154703846,2.237050796845408,0.79735699184,0.06585565954582903,1.7735582026447085,0.82593815335,0.04594907715273693,1.7227315840062953,1.17116596207,0.246223719563199,2.5400643511060554,0.947467645984,0.2661303019562911,2.31971058381496
WellC06_Seq0013/xy08_sliding_s15,1-0,1193.4889589178822,821.408955636594,0.794300775157,0.870632544379,0.6882417717390136,44.978436433473284,21.907076847448185,49.7287066216,1.75163379024,0.419721561034,-0.520349979962,304.230269226,0.09098084492569505,0.577705420697,469.773898919,0.016941869047994995,-1.5520242169447813,-1.226987786414682,-1.153736051719396,-1.3366388336010804,-1.5000000000000004,-1.4999999999999998,-2.0,-2.0,-2.0,37.944448681,37.944448681,37.944448681,37.944448681,37.944448681,37.944448681,37.944448681,37.944448681,37.944448681,37.944448681,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.223680763499,-0.154389479887,-0.243627578711,-0.478707333239,-0.272305526292,0.205386014764,0.112123470002,-0.131541118005,-0.233006609369,-0.128599038673,0.818181818182,1.0,0.9,1.0,0.888888888889,1.0,0.301624425561,0.004008874410389065,0.4969791361562123,0.287215579016,0.05846716570917757,0.4122409575588095,0.320504554962,0.14840761253498116,0.49552135787696067,0.304060192178,0.08593157241541848,0.42684549612626316,0.326932078724,0.07083181221044715,0.610466370628564,0.315552012411,0.008355772090896435,0.49629019920342166
WellC06_Seq0013/xy08_sliding_s15,1-1,1180.1361045148578,771.8884790563984,0.705568589065,0.762263313609,0.6540673368973099,44.978436433473284,21.907076847448185,49.1723376881,1.7274262424,0.390243455451,-0.523728849713,305.751751183,0.041081114963060335,0.475674216315,424.187544796,-0.01689225474648115,-0.4115984504955126,-1.137077451725385,-0.6167487376853291,-1.058089195144265,-1.4999999999999998,-1.5000000000000058,-2.0,-2.0,-2.0,37.3612754693,37.3612754693,37.3612754693,37.3612754693,37.3612754693,37.3612754693,37.3612754693,37.3612754693,37.3612754693,37.3612754693,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.239754511139,-0.166017847927,-0.249285782625,-0.494371987644,-0.274679269226,0.205100422261,0.140864255118,-0.12086188909,-0.238131897098,-0.123733011668,0.909090909091,1.0,1.0,1.0,1.0,1.0,0.288757895128,0.004008874410389065,0.4969791361562123,0.309671191636,0.19314165943785702,0.4122409575588095,0.334040865112,0.14840761253498116,0.49552135787696067,0.344416994719,0.2663867979861974,0.44914279528201867,0.35748131707,0.07083181221044715,0.610466370628564,0.377314668202,0.17868761466268898,0.5024570184184063
WellC06_Seq0013/xy08_sliding_s15,1-2,1164.341522212346,743.1518071026942,0.597082403757,0.610802366864,0.6382593018675858,44.978436433473284,21.907076847448185,48.5142300922,1.70714039841,0.462152842662,-0.531356274721,282.029977192,0.12700453467316658,0.410022065429,400.10439628,0.15896371093975015,-1.2294751557281334,-1.0985995138181917,-1.8282794515330696,-1.8407400383461046,-1.5000000000000036,-1.500000000000001,-2.0,-2.0,-2.0,37.2563031609,37.2563031609,37.2563031609,37.2563031609,37.2563031609,37.2563031609,37.2563031609,37.2563031609,37.2563031609,37.2563031609,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.338179573561,-0.060554254271,-0.197960460793,-0.471283374333,-0.243039181156,0.00655370577292,0.0406173872435,-0.278927389211,-0.308177428583,-0.0137789474189,0.909090909091,1.0,1.0,1.0,1.0,1.0,0.32964674629,0.11154256997528007,0.4969791361562123,0.316051838911,0.19314165943785702,0.4760474303105723,0.351803670884,0.15280269598437157,0.49552135787696067,0.348720642327,0.2663867979861974,0.44914279528201867,0.400754194276,0.21994581881928105,0.610466370628564,0.416981505964,0.31118682270194575,0.5024570184184063
WellC06_Seq0013/xy08_sliding_s15,2-0,741.487276013073,351.5057174798157,0.00947640980015,0.00417514792899,0.47405495529179975,42.85208629693541,2.469361860886314,30.8953031672,1.3604245365,0.851025303185,-0.232702116274,449.291214751,0.6122486605392599,-0.197159508744,133.042933716,-1.1285915024703792,-0.6633473236199134,-1.1657665229798948,-1.2075015458299003,-1.6220108328169474,-1.5000000000000002,-1.4999999999999998,-1.9999999999999998,-2.0,-2.0,27.1687948065,27.1687948065,27.1687948065,27.1687948065,28.3733635442,28.3733635442,28.3733635442,28.3733635442,28.3733635442,29.40287629,1.0,1.0,1.0,1.0,0.95,0.95,0.95,0.95,0.95,0.9,0.444552223057,0.149714980292,-0.077642445577,0.134409000984,-0.133893344907,-0.414627082949,-0.462499193895,-0.154696782174,-0.240050334777,-0.26791445251,0.181818181818,0.1,0.2,0.111111111111,0.111111111111,0.0,1.06645119333,0.050364012018620126,1.9833531919020844,1.11546657893,0.023454616181625296,2.1088665950780565,1.19734027116,0.15954724675635715,1.9127432217144866,1.22857247013,0.08572861855610706,1.9223825237282512,1.46813622449,0.12062601659411494,2.0228396125765093,1.52020597763,0.04680738839386725,2.0962469401596118
