Well/XY,cell_id,group
WellB05_Seq0003/xy03,0,3
WellB05_Seq0003/xy04,0,2
WellB05_Seq0003/xy04,1,1
WellB05_Seq0003/xy04,2,1
WellB05_Seq0003/xy07,0,3
WellB05_Seq0003/xy10,0,3
WellB05_Seq0003/xy10,1,3
WellB05_Seq0003/xy10,2,3
WellB05_Seq0003/xy10,3,3
WellB05_Seq0003/xy11,0,1
WellB05_Seq0003/xy11,1,1
WellB05_Seq0003/xy13,0,1
WellB05_Seq0003/xy14,0,1
WellB05_Seq0003/xy15,0,1
WellB05_Seq0003/xy15,1,1
WellB05_Seq0003/xy15,2,2
WellB05_Seq0003/xy16,0,1
WellB05_Seq0003/xy16,1,1
WellB05_Seq0003/xy16,2,3
WellB05_Seq0003/xy16,3,1
WellB05_Seq0003/xy18,0,1
WellB05_Seq0003/xy19,0,4
WellB05_Seq0003/xy19,1,1
WellB05_Seq0003/xy20,0,3
WellB05_Seq0003/xy20,1,1
WellB05_Seq0003/xy20,2,1
WellB05_Seq0003/xy21,0,1
WellB05_Seq0003/xy21,1,3
WellB05_Seq0003/xy21,2,1
WellB05_Seq0003/xy22,0,1
WellB05_Seq0003/xy23,0,1
WellB05_Seq0003/xy23,1,3
WellB05_Seq0003/xy23,2,3
WellB05_Seq0003/xy23,3,1
WellB05_Seq0003/xy24,0,2
WellB05_Seq0003/xy25,0,3
WellB05_Seq0003/xy25,1,3
WellB06_Seq0004/xy03,0,2
WellB06_Seq0004/xy03,1,3
WellB06_Seq0004/xy03,2,1
WellB06_Seq0004/xy03,3,1
WellB06_Seq0004/xy04,0,1
WellB06_Seq0004/xy04,1,3
WellB06_Seq0004/xy04,2,1
WellB06_Seq0004/xy04,3,2
WellB06_Seq0004/xy05,0,1
WellB06_Seq0004/xy05,1,3
WellB06_Seq0004/xy05,2,1
WellB06_Seq0004/xy06,0,1
WellB06_Seq0004/xy06,1,3
WellB06_Seq0004/xy06,2,1
WellB06_Seq0004/xy06,3,1
WellB06_Seq0004/xy06,4,1
WellB06_Seq0004/xy06,5,1
WellB06_Seq0004/xy06,6,1
WellB06_Seq0004/xy06,7,1
WellB06_Seq0004/xy07,0,1
WellB06_Seq0004/xy07,1,1
WellB06_Seq0004/xy07,2,3
WellB06_Seq0004/xy07,3,1
WellB06_Seq0004/xy07,4,1
WellB06_Seq0004/xy07,5,1
WellB06_Seq0004/xy08,0,2
WellB06_Seq0004/xy08,1,1
WellB06_Seq0004/xy09,0,3
WellB06_Seq0004/xy11,0,1
WellB06_Seq0004/xy11,1,1
WellB06_Seq0004/xy11,2,1
WellB06_Seq0004/xy11,3,1
WellB06_Seq0004/xy12,0,1
WellB06_Seq0004/xy12,1,4
WellB06_Seq0004/xy13,0,1
WellB06_Seq0004/xy13,1,1
WellB06_Seq0004/xy13,2,4
WellB06_Seq0004/xy14,0,1
WellB06_Seq0004/xy14,1,3
WellB06_Seq0004/xy14,2,1
WellB06_Seq0004/xy14,3,2
WellB06_Seq0004/xy15,0,1
WellB06_Seq0004/xy15,1,1
WellB06_Seq0004/xy16,0,1
WellB06_Seq0004/xy17,0,1
WellB06_Seq0004/xy17,1,1
WellB06_Seq0004/xy17,2,3
WellB06_Seq0004/xy17,3,4
WellB06_Seq0004/xy18,0,3
WellB06_Seq0004/xy18,1,3
WellB06_Seq0004/xy18,2,3
WellB06_Seq0004/xy18,3,3
WellB06_Seq0004/xy20,0,3
WellB06_Seq0004/xy21,0,1
WellB06_Seq0004/xy21,1,1
WellB06_Seq0004/xy22,0,1
WellB06_Seq0004/xy22,1,1
WellB06_Seq0004/xy22,2,3
WellB06_Seq0004/xy23,0,1
WellB06_Seq0004/xy24,0,1
WellB06_Seq0004/xy24,1,2
WellB06_Seq0004/xy24,2,1
WellB07_Seq0005/xy02,0,1
WellB07_Seq0005/xy02,1,3
WellB07_Seq0005/xy03,0,3
WellB07_Seq0005/xy04,0,3
WellB07_Seq0005/xy04,1,1
WellB07_Seq0005/xy04,2,1
WellB07_Seq0005/xy04,3,1
WellB07_Seq0005/xy04,4,1
WellB07_Seq0005/xy05,0,4
WellB07_Seq0005/xy05,1,1
WellB07_Seq0005/xy05,2,1
WellB07_Seq0005/xy05,3,1
WellB07_Seq0005/xy05,4,1
WellB07_Seq0005/xy06,0,1
WellB07_Seq0005/xy06,1,3
WellB07_Seq0005/xy06,2,3
WellB07_Seq0005/xy06,3,1
WellB07_Seq0005/xy06,4,3
WellB07_Seq0005/xy07,0,2
WellB07_Seq0005/xy07,1,2
WellB07_Seq0005/xy07,2,3
WellB07_Seq0005/xy07,3,3
WellB07_Seq0005/xy07,4,1
WellB07_Seq0005/xy09,0,2
WellB07_Seq0005/xy09,1,1
WellB07_Seq0005/xy10,0,1
WellB07_Seq0005/xy10,1,2
WellB07_Seq0005/xy10,2,2
WellB07_Seq0005/xy11,0,3
WellB07_Seq0005/xy11,1,1
WellB07_Seq0005/xy11,2,1
WellB07_Seq0005/xy12,0,3
WellB07_Seq0005/xy12,1,1
WellB07_Seq0005/xy12,2,1
WellB07_Seq0005/xy13,0,1
WellB07_Seq0005/xy13,1,1
WellB07_Seq0005/xy13,2,1
WellB07_Seq0005/xy13,3,4
WellB07_Seq0005/xy14,0,3
WellB07_Seq0005/xy14,1,3
WellB07_Seq0005/xy14,2,1
WellB07_Seq0005/xy14,3,1
WellB07_Seq0005/xy14,4,3
WellB07_Seq0005/xy15,0,1
WellB07_Seq0005/xy15,1,1
WellB07_Seq0005/xy15,2,3
WellB07_Seq0005/xy15,3,1
WellB07_Seq0005/xy15,4,1
WellB07_Seq0005/xy15,5,1
WellB07_Seq0005/xy15,6,1
WellB07_Seq0005/xy15,7,2
WellB07_Seq0005/xy15,8,1
WellB07_Seq0005/xy16,0,1
WellB07_Seq0005/xy16,1,1
WellB07_Seq0005/xy16,2,1
WellB07_Seq0005/xy16,3,2
WellB07_Seq0005/xy16,4,3
WellB07_Seq0005/xy17,0,1
WellB07_Seq0005/xy17,1,4
WellB07_Seq0005/xy17,2,2
WellB07_Seq0005/xy18,0,3
WellB07_Seq0005/xy18,1,1
WellB07_Seq0005/xy19,0,1
WellB07_Seq0005/xy19,1,1
WellB07_Seq0005/xy19,2,1
WellB07_Seq0005/xy20,0,3
WellB07_Seq0005/xy20,1,1
WellB07_Seq0005/xy20,2,1
WellB07_Seq0005/xy21,0,1
WellB07_Seq0005/xy22,0,1
WellB07_Seq0005/xy22,1,1
WellB07_Seq0005/xy22,2,1
WellB07_Seq0005/xy23,0,3
WellB07_Seq0005/xy23,1,3
WellB07_Seq0005/xy23,2,1
WellB07_Seq0005/xy23,3,1
WellB07_Seq0005/xy24,0,1
WellB07_Seq0005/xy24,1,1
WellB07_Seq0005/xy24,2,3
WellB07_Seq0005/xy24,3,1
WellB07_Seq0005/xy24,4,1
WellB07_Seq0005/xy24,5,1
WellB07_Seq0005/xy24,6,2
WellB08_Seq0006/xy01,0,1
WellB08_Seq0006/xy01,1,3
WellB08_Seq0006/xy02,0,1
WellB08_Seq0006/xy02,1,1
WellB08_Seq0006/xy02,2,3
WellB08_Seq0006/xy02,3,3
WellB08_Seq0006/xy02,4,1
WellB08_Seq0006/xy02,5,1
WellB08_Seq0006/xy02,6,3
WellB08_Seq0006/xy02,7,3
WellB08_Seq0006/xy02,8,1
WellB08_Seq0006/xy02,9,1
WellB08_Seq0006/xy02,10,3
WellB08_Seq0006/xy03,0,1
WellB08_Seq0006/xy03,1,3
WellB08_Seq0006/xy03,2,1
WellB08_Seq0006/xy04,0,1
WellB08_Seq0006/xy04,1,1
WellB08_Seq0006/xy04,2,1
WellB08_Seq0006/xy04,3,3
WellB08_Seq0006/xy04,4,1
WellB08_Seq0006/xy04,5,3
WellB08_Seq0006/xy04,6,2
WellB08_Seq0006/xy04,7,1
WellB08_Seq0006/xy04,8,2
WellB08_Seq0006/xy05,0,1
WellB08_Seq0006/xy05,1,1
WellB08_Seq0006/xy05,2,1
WellB08_Seq0006/xy06,0,1
WellB08_Seq0006/xy06,1,1
WellB08_Seq0006/xy06,2,3
WellB08_Seq0006/xy06,3,1
WellB08_Seq0006/xy06,4,1
WellB08_Seq0006/xy06,5,1
WellB08_Seq0006/xy06,6,1
WellB08_Seq0006/xy07,0,3
WellB08_Seq0006/xy07,1,1
WellB08_Seq0006/xy07,2,1
WellB08_Seq0006/xy07,3,3
WellB08_Seq0006/xy07,4,3
WellB08_Seq0006/xy07,5,1
WellB08_Seq0006/xy08,0,1
WellB08_Seq0006/xy08,1,1
WellB08_Seq0006/xy08,2,1
WellB08_Seq0006/xy08,3,1
WellB08_Seq0006/xy08,4,1
WellB08_Seq0006/xy09,0,1
WellB08_Seq0006/xy09,1,1
WellB08_Seq0006/xy09,2,1
WellB08_Seq0006/xy10,0,1
WellB08_Seq0006/xy10,1,1
WellB08_Seq0006/xy10,2,3
WellB08_Seq0006/xy10,3,1
WellB08_Seq0006/xy10,4,2
WellB08_Seq0006/xy10,5,3
WellB08_Seq0006/xy11,0,1
WellB08_Seq0006/xy11,1,2
WellB08_Seq0006/xy11,2,1
WellB08_Seq0006/xy11,3,3
WellB08_Seq0006/xy11,4,1
WellB08_Seq0006/xy11,5,3
WellB08_Seq0006/xy11,6,3
WellB08_Seq0006/xy12,0,3
WellB08_Seq0006/xy12,1,1
WellB08_Seq0006/xy12,2,1
WellB08_Seq0006/xy13,0,1
WellB08_Seq0006/xy13,1,1
WellB08_Seq0006/xy13,2,1
WellB08_Seq0006/xy13,3,2
WellB08_Seq0006/xy14,0,1
WellB08_Seq0006/xy14,1,1
WellB08_Seq0006/xy14,2,3
WellB08_Seq0006/xy14,3,1
WellB08_Seq0006/xy14,4,1
WellB08_Seq0006/xy14,5,1
WellB08_Seq0006/xy15,0,3
WellB08_Seq0006/xy15,1,3
WellB08_Seq0006/xy15,2,3
WellB08_Seq0006/xy15,3,1
WellB08_Seq0006/xy15,4,1
WellB08_Seq0006/xy15,5,3
WellB08_Seq0006/xy16,0,2
WellB08_Seq0006/xy16,1,3
WellB08_Seq0006/xy16,2,1
WellB08_Seq0006/xy16,3,1
WellB08_Seq0006/xy16,4,1
WellB08_Seq0006/xy17,0,1
WellB08_Seq0006/xy17,1,1
WellB08_Seq0006/xy17,2,1
WellB08_Seq0006/xy17,3,1
WellB08_Seq0006/xy18,0,3
WellB08_Seq0006/xy19,0,1
WellB08_Seq0006/xy19,1,3
WellB08_Seq0006/xy20,0,3
WellB08_Seq0006/xy20,1,2
WellB08_Seq0006/xy22,0,1
WellB08_Seq0006/xy22,1,1
WellB08_Seq0006/xy23,0,1
WellB08_Seq0006/xy23,1,3
WellB08_Seq0006/xy23,2,1
WellB08_Seq0006/xy24,0,1
WellB08_Seq0006/xy24,1,3
WellB08_Seq0006/xy24,2,3
WellB08_Seq0006/xy25,0,1
WellB08_Seq0006/xy25,1,1
WellB08_Seq0006/xy25,2,1
WellB09_Seq0007/xy01,0,1
WellB09_Seq0007/xy01,1,2
WellB09_Seq0007/xy01,2,1
WellB09_Seq0007/xy01,3,4
WellB09_Seq0007/xy02,0,1
WellB09_Seq0007/xy02,1,1
WellB09_Seq0007/xy02,2,1
WellB09_Seq0007/xy03,0,3
WellB09_Seq0007/xy04,0,1
WellB09_Seq0007/xy04,1,1
WellB09_Seq0007/xy04,2,2
WellB09_Seq0007/xy05,0,1
WellB09_Seq0007/xy05,1,1
WellB09_Seq0007/xy05,2,1
WellB09_Seq0007/xy06,0,1
WellB09_Seq0007/xy06,1,1
WellB09_Seq0007/xy06,2,1
WellB09_Seq0007/xy06,3,1
WellB09_Seq0007/xy08,0,3
WellB09_Seq0007/xy08,1,3
WellB09_Seq0007/xy09,0,1
WellB09_Seq0007/xy09,1,3
WellB09_Seq0007/xy09,2,1
WellB09_Seq0007/xy10,0,1
WellB09_Seq0007/xy10,1,1
WellB09_Seq0007/xy10,2,3
WellB09_Seq0007/xy10,3,1
WellB09_Seq0007/xy10,4,3
